Timestamp,Step,train_loss,val_loss,time_ms,tokens_per_second,learning_rate
2025-02-28T10:58:20,23,NA,NA,NA,NA,0.001000
2025-02-28T10:58:21,24,63.150490,NA,NA,NA,NA
2025-02-28T10:58:21,24,NA,NA,1119.761696,NA,NA
2025-02-28T10:58:21,24,NA,NA,NA,228.620071,NA
2025-02-28T10:58:21,24,NA,NA,NA,NA,0.001000
2025-02-28T10:58:22,25,61.893913,NA,NA,NA,NA
2025-02-28T10:58:22,25,NA,NA,1121.463482,NA,NA
2025-02-28T10:58:22,25,NA,NA,NA,228.273148,NA
2025-02-28T10:58:22,25,NA,NA,NA,NA,0.001000
2025-02-28T10:58:23,26,63.650642,NA,NA,NA,NA
2025-02-28T10:58:23,26,NA,NA,1096.594610,NA,NA
2025-02-28T10:58:23,26,NA,NA,NA,233.449997,NA
2025-02-28T10:58:23,26,NA,NA,NA,NA,0.001000
2025-02-28T10:58:24,27,57.575264,NA,NA,NA,NA
2025-02-28T10:58:24,27,NA,NA,1147.391492,NA,NA
2025-02-28T10:58:24,27,NA,NA,NA,223.114777,NA
2025-02-28T10:58:24,27,NA,NA,NA,NA,0.001000
2025-02-28T10:58:25,28,55.727829,NA,NA,NA,NA
2025-02-28T10:58:25,28,NA,NA,1082.074595,NA,NA
2025-02-28T10:58:25,28,NA,NA,NA,236.582581,NA
2025-02-28T10:58:25,28,NA,NA,NA,NA,0.001000
2025-02-28T10:58:27,29,55.016354,NA,NA,NA,NA
2025-02-28T10:58:27,29,NA,NA,1128.256270,NA,NA
2025-02-28T10:58:27,29,NA,NA,NA,226.898804,NA
2025-02-28T10:58:27,29,NA,NA,NA,NA,0.001000
2025-02-28T10:58:28,30,NA,56.609142,NA,NA,NA
2025-02-28T10:58:29,30,54.398903,NA,NA,NA,NA
2025-02-28T10:58:29,30,NA,NA,1171.842598,NA,NA
2025-02-28T10:58:29,30,NA,NA,NA,218.459381,NA
2025-02-28T10:58:29,30,NA,NA,NA,NA,0.001000
2025-02-28T10:58:30,31,58.446480,NA,NA,NA,NA
2025-02-28T10:58:30,31,NA,NA,1137.656423,NA,NA
2025-02-28T10:58:30,31,NA,NA,NA,225.024002,NA
2025-02-28T10:58:30,31,NA,NA,NA,NA,0.001000
2025-02-28T10:58:31,32,56.681366,NA,NA,NA,NA
2025-02-28T10:58:31,32,NA,NA,1100.564952,NA,NA
2025-02-28T10:58:31,32,NA,NA,NA,232.607803,NA
2025-02-28T10:58:31,32,NA,NA,NA,NA,0.001000
2025-02-28T10:58:31,33,54.190208,NA,NA,NA,NA
2025-02-28T10:58:31,33,NA,NA,1083.016585,NA,NA
2025-02-28T10:58:31,33,NA,NA,NA,236.376801,NA
2025-02-28T10:58:31,33,NA,NA,NA,NA,0.001000
2025-02-28T10:58:32,34,52.155823,NA,NA,NA,NA
2025-02-28T10:58:32,34,NA,NA,1177.154317,NA,NA
2025-02-28T10:58:32,34,NA,NA,NA,217.473618,NA
2025-02-28T10:58:32,34,NA,NA,NA,NA,0.001000
2025-02-28T10:58:33,35,53.363281,NA,NA,NA,NA
2025-02-28T10:58:33,35,NA,NA,1148.062793,NA,NA
2025-02-28T10:58:33,35,NA,NA,NA,222.984314,NA
2025-02-28T10:58:33,35,NA,NA,NA,NA,0.001000
2025-02-28T10:58:34,36,54.083973,NA,NA,NA,NA
2025-02-28T10:58:34,36,NA,NA,1079.740247,NA,NA
2025-02-28T10:58:34,36,NA,NA,NA,237.094055,NA
2025-02-28T10:58:34,36,NA,NA,NA,NA,0.001000
2025-02-28T10:58:35,37,48.816238,NA,NA,NA,NA
2025-02-28T10:58:35,37,NA,NA,1100.968797,NA,NA
2025-02-28T10:58:35,37,NA,NA,NA,232.522491,NA
2025-02-28T10:58:35,37,NA,NA,NA,NA,0.001000
2025-02-28T10:58:36,38,47.584190,NA,NA,NA,NA
2025-02-28T10:58:36,38,NA,NA,1086.203332,NA,NA
2025-02-28T10:58:36,38,NA,NA,NA,235.683319,NA
2025-02-28T10:58:36,38,NA,NA,NA,NA,0.001000
2025-02-28T10:58:37,39,49.335976,NA,NA,NA,NA
2025-02-28T10:58:37,39,NA,NA,1095.016095,NA,NA
2025-02-28T10:58:37,39,NA,NA,NA,233.786514,NA
2025-02-28T10:58:37,39,NA,NA,NA,NA,0.001000
2025-02-28T10:58:39,40,NA,49.261753,NA,NA,NA
2025-02-28T10:58:40,40,49.982498,NA,NA,NA,NA
2025-02-28T10:58:40,40,NA,NA,1087.116516,NA,NA
2025-02-28T10:58:40,40,NA,NA,NA,235.485336,NA
2025-02-28T10:58:40,40,NA,NA,NA,NA,0.001000
2025-02-28T10:58:41,41,48.669598,NA,NA,NA,NA
